Transaction_ID,Date,Customer_ID,Gender,Age,Category,Sub-Category,Quantity,Unit_Price,Cost_Price,Total_Sales,Total Cost,Region,Opening_Inventory,Closing_Inventory
T00076,3/17/2023,CUST364,Male,24,Electronics,Mobiles,4,1414,955,5656,3820,Tamil Nadu,132,128
T00077,5/24/2023,CUST984,,22,Sports,Outdoor,3,849,642,2547,1926,Gujarat,102,99
T00078,5/31/2023,CUST243,,56,Home & Kitchen,Cookware,1,1397,938,1397,938,Uttar Pradesh,191,190
T00079,8/11/2023,CUST733,Female,22,Clothing,T-Shirts,3,1115,899,3345,2697,Karnataka,195,192
T00080,8/27/2023,CUST687,Male,26,Clothing,Jeans,2,1234,853,2468,1706,Maharashtra,56,54
T00081,6/23/2023,CUST752,Male,57,Home & Kitchen,Cookware,2,666,457,1332,914,Delhi,54,52
T00082,1/29/2023,CUST264,Female,55,Clothing,T-Shirts,3,901,623,2703,1869,Tamil Nadu,135,132
T00083,5/25/2023,CUST610,Female,24,Beauty,Skincare,1,785,633,785,633,Uttar Pradesh,68,67
T00084,12/30/2023,CUST281,Male,56,Sports,Sportswear,3,399,,1197,972,Gujarat,175,172
T00085,6/22/2023,CUST752,Female,45,Sports,Sportswear,2,173,151,346,302,Tamil Nadu,110,108
T00086,12/27/2023,CUST100,Male,20,Home & Kitchen,Furniture,1,395,314,395,314,Tamil Nadu,162,161
T00087,11/8/2023,CUST216,Male,23,Beauty,Skincare,2,165,111,330,222,Gujarat,110,108
T00088,10/30/2023,CUST248,Male,33,Electronics,Laptops,2,1368,932,2736,1864,Tamil Nadu,196,194
T00089,1/20/2023,CUST540,Male,35,Sports,Outdoor,3,919,666,2757,1998,Delhi,50,47
T00090,2/23/2023,CUST985,Female,20,Clothing,Jeans,4,1119,763,4476,3052,Maharashtra,123,119
T00091,8/12/2023,CUST883,Female,25,Electronics,Mobiles,2,688,510,1376,1020,Uttar Pradesh,57,55
T00092,5/2/2023,CUST447,Male,53,Electronics,Accessories,2,536,449,1072,898,Uttar Pradesh,77,75
T00093,8/8/2023,CUST968,Female,58,Beauty,Skincare,4,1362,988,5448,3952,Delhi,194,190
T00094,7/20/2023,CUST823,Male,30,Sports,Fitness,4,397,344,1588,1376,Maharashtra,84,80
T00095,9/10/2023,CUST489,,35,Sports,Fitness,3,1013,753,3039,2259,Karnataka,59,56
T00096,11/8/2023,CUST897,Female,22,Clothing,Jeans,3,663,470,1989,1410,Gujarat,195,192
T00097,8/12/2023,CUST338,Female,28,Clothing,T-Shirts,1,974,775,974,775,Tamil Nadu,108,107
T00098,10/10/2023,CUST788,Male,30,Clothing,Jeans,1,661,522,661,522,Delhi,178,177
T00099,11/7/2023,CUST617,Female,45,Electronics,Laptops,1,813,581,813,581,Maharashtra,52,51
T00100,1/23/2023,CUST664,Male,54,Clothing,Shirts,2,1037,865,2074,1730,Maharashtra,127,125
T00101,1/1/2023,CUST150,Female,30,Beauty,Skincare,4,419,306,1676,1224,Karnataka,81,77
T00102,2/3/2023,CUST447,Male,48,Clothing,Shirts,4,156,120,624,480,Maharashtra,167,163
T00103,9/16/2023,CUST990,Male,29,Clothing,T-Shirts,1,790,597,790,597,Tamil Nadu,106,105
T00104,4/22/2023,CUST866,Female,40,Beauty,Makeup,3,1093,806,3279,2418,Gujarat,124,121
T00105,4/13/2023,CUST521,Male,51,Electronics,Mobiles,2,877,647,1754,1294,Karnataka,128,126
T00106,12/13/2023,CUST534,Female,51,Sports,Outdoor,4,759,593,3036,2372,Tamil Nadu,128,124
T00107,1/30/2023,CUST858,Male,59,Sports,Outdoor,3,1033,728,3099,2184,Karnataka,187,184
T00108,7/3/2023,CUST500,Male,27,Sports,Outdoor,1,427,332,427,332,Gujarat,83,82
T00109,9/19/2023,CUST152,Female,19,Home & Kitchen,Decor,1,384,288,384,288,Delhi,164,163
T00110,4/21/2023,CUST860,Male,40,Electronics,Laptops,3,789,626,2367,1878,Gujarat,193,190
T00111,1/8/2023,CUST459,Male,21,Beauty,Makeup,4,682,471,2728,1884,Tamil Nadu,142,138
T00112,6/9/2023,CUST160,Female,36,Home & Kitchen,Furniture,1,305,252,305,252,Delhi,110,109
T00113,1/22/2023,CUST504,,23,Home & Kitchen,Furniture,1,722,581,722,581,Karnataka,95,94
T00114,2/3/2023,CUST177,Female,43,Sports,Fitness,1,443,389,443,389,Gujarat,96,95
T00115,5/1/2023,CUST313,Male,47,Beauty,Skincare,3,1044,929,3132,2787,Uttar Pradesh,75,72
T00116,10/19/2023,CUST356,Male,25,Sports,Sportswear,1,953,638,953,638,Karnataka,96,95
T00117,5/7/2023,CUST155,Male,39,Sports,Sportswear,2,819,656,1638,1312,Delhi,179,177
T00118,12/31/2023,CUST765,Male,31,Clothing,Jackets,3,453,327,1359,981,Tamil Nadu,160,157
T00119,8/26/2023,CUST462,Male,,Sports,Outdoor,2,527,419,1054,838,Tamil Nadu,168,166
T00120,1/28/2023,CUST813,Male,56,Electronics,Laptops,1,973,857,973,857,Tamil Nadu,175,174
T00121,10/27/2023,CUST636,Male,34,Clothing,Jackets,1,870,634,870,634,Maharashtra,116,115
T00122,8/21/2023,CUST208,Female,35,Sports,Outdoor,3,873,626,2619,1878,Karnataka,160,157
T00123,9/21/2023,CUST468,Male,36,Clothing,Shirts,2,443,355,886,710,Delhi,75,73
T00124,11/16/2023,CUST837,Female,23,Electronics,Mobiles,1,1037,940,1037,940,Gujarat,70,69
T00125,7/17/2023,CUST681,Male,21,Beauty,Haircare,2,325,268,650,536,Tamil Nadu,144,142
T00126,6/1/2023,CUST922,Male,26,Clothing,T-Shirts,3,162,146,486,438,Delhi,85,82
T00127,8/11/2023,CUST105,Female,19,Beauty,Haircare,4,1406,973,5624,3892,Delhi,183,179
T00128,4/28/2023,CUST980,Male,47,Sports,Sportswear,4,1072,751,4288,3004,Uttar Pradesh,128,124
T00129,7/22/2023,CUST491,Female,43,Electronics,Mobiles,3,1010,855,3030,2565,Maharashtra,167,164
T00130,11/20/2023,CUST886,Male,37,Electronics,Laptops,1,1001,763,1001,763,Tamil Nadu,50,49
T00131,3/31/2023,CUST753,Male,55,Electronics,Accessories,1,818,555,818,555,Delhi,126,125
T00132,9/16/2023,CUST772,Female,23,Electronics,Laptops,2,671,509,1342,1018,Delhi,187,185
T00133,6/21/2023,CUST997,Male,30,Beauty,Haircare,4,996,829,3984,3316,Maharashtra,150,146
T00134,11/25/2023,CUST884,Male,26,Clothing,T-Shirts,3,706,526,2118,1578,Tamil Nadu,143,140
T00135,4/5/2023,CUST916,Male,22,Electronics,Accessories,2,975,771,1950,1542,Karnataka,166,164
T00136,5/17/2023,CUST687,Female,52,Home & Kitchen,Furniture,3,1297,934,3891,2802,Maharashtra,109,106
T00137,11/16/2023,CUST448,Male,25,Sports,Outdoor,3,963,816,2889,2448,Gujarat,79,76
T00138,10/18/2023,CUST824,Male,54,Clothing,T-Shirts,1,422,312,422,312,Gujarat,111,110
T00139,5/12/2023,CUST700,Male,59,Beauty,Haircare,1,915,715,915,715,Gujarat,153,152
T00140,1/14/2023,CUST899,,55,Electronics,Accessories,1,1006,773,1006,773,Tamil Nadu,194,193
T00141,8/13/2023,CUST602,Male,19,Home & Kitchen,Cookware,2,191,160,382,320,Delhi,88,86
T00142,7/17/2023,CUST745,Female,20,Beauty,Makeup,3,1043,757,3129,2271,Uttar Pradesh,64,61
T00143,4/21/2023,CUST768,Male,50,Beauty,Skincare,4,1020,767,4080,3068,Karnataka,87,83
T00144,4/7/2023,CUST510,Female,50,Sports,Outdoor,2,394,284,788,568,Gujarat,54,52
T00145,5/3/2023,CUST941,Male,50,Electronics,Accessories,2,960,839,1920,1678,Karnataka,158,156
T00146,8/4/2023,CUST795,Male,32,Beauty,Haircare,1,758,586,758,586,Tamil Nadu,117,116
T00147,11/28/2023,CUST784,Female,19,Clothing,T-Shirts,3,933,677,2799,2031,Karnataka,85,82
T00148,10/9/2023,CUST910,Male,44,Home & Kitchen,Cookware,1,1252,844,1252,844,Delhi,153,152
T00149,2/7/2023,CUST233,Female,25,Beauty,Makeup,3,763,516,2289,1548,Delhi,189,186
T00150,8/6/2023,CUST240,Female,57,Electronics,Mobiles,2,229,191,458,382,Tamil Nadu,153,151
T00151,11/12/2023,CUST782,Male,29,Clothing,Jackets,4,839,609,3356,2436,Maharashtra,169,165
T00152,10/20/2023,CUST939,Male,59,Beauty,Skincare,1,831,619,831,619,Karnataka,100,99
T00153,1/29/2023,CUST561,Female,57,Beauty,Makeup,1,1195,933,1195,933,Delhi,95,94
T00154,4/11/2023,CUST504,Female,43,Beauty,Skincare,2,384,268,768,536,Karnataka,50,48
T00155,11/15/2023,CUST666,Male,57,Beauty,Skincare,3,515,459,1545,1377,Delhi,186,183
T00156,7/21/2023,CUST535,Female,43,Clothing,Shirts,1,257,203,257,203,Karnataka,139,138
T00157,3/16/2023,CUST905,Male,19,Electronics,Mobiles,3,575,412,1725,1236,Uttar Pradesh,66,63
T00158,5/8/2023,CUST975,Female,41,Sports,Sportswear,1,695,549,695,549,Gujarat,137,136
T00159,6/10/2023,CUST276,Male,46,Electronics,Accessories,3,416,350,1248,1050,Uttar Pradesh,163,160
T00160,2/18/2023,CUST948,Female,37,Clothing,Jackets,1,296,234,296,234,Karnataka,112,111
T00161,7/8/2023,CUST459,Male,24,Home & Kitchen,Decor,1,477,379,477,379,,172,171
T00162,7/30/2023,CUST417,Male,49,Electronics,Mobiles,2,303,272,606,544,Karnataka,79,77
T00163,5/24/2023,CUST523,Female,36,Beauty,Makeup,2,505,365,1010,730,Delhi,162,160
T00164,4/24/2023,CUST321,Female,55,Beauty,Makeup,3,281,240,843,720,Uttar Pradesh,104,101
T00165,12/25/2023,CUST742,Female,49,Sports,Fitness,2,467,344,934,688,Karnataka,173,171
T00166,3/28/2023,CUST154,,45,Beauty,Makeup,4,1015,744,4060,2976,Maharashtra,114,110
T00167,11/9/2023,CUST858,Male,20,Home & Kitchen,Decor,4,360,277,1440,1108,Maharashtra,121,117
T00168,2/23/2023,CUST860,Female,54,Sports,Fitness,3,1189,899,3567,2697,Uttar Pradesh,57,54
T00169,10/18/2023,CUST195,Female,41,Clothing,T-Shirts,2,915,643,1830,1286,Maharashtra,193,191
T00170,6/14/2023,CUST281,Female,38,Home & Kitchen,Cookware,2,531,364,1062,728,Karnataka,56,54
T00171,11/26/2023,CUST874,Male,50,Electronics,Mobiles,3,992,863,2976,2589,Gujarat,196,193
T00172,2/5/2023,CUST384,Male,35,Home & Kitchen,Cookware,2,1241,920,2482,1840,Delhi,60,58
T00173,8/22/2023,CUST485,Female,20,Electronics,Laptops,3,187,131,561,393,Gujarat,86,83
T00174,9/13/2023,CUST833,Female,26,Clothing,Jackets,2,1039,875,2078,1750,Tamil Nadu,135,133
T00175,12/30/2023,CUST379,Female,34,Sports,Outdoor,2,910,609,1820,1218,Delhi,177,175
T00176,8/12/2023,CUST820,Male,34,Clothing,Shirts,2,1059,768,2118,1536,Gujarat,74,72
T00177,12/25/2023,CUST300,Male,39,Electronics,Mobiles,3,553,480,1659,1440,Delhi,78,75
T00178,4/19/2023,CUST709,Male,40,Clothing,Jackets,1,171,117,171,117,Maharashtra,134,133
T00179,2/11/2023,CUST455,Male,58,Home & Kitchen,Decor,2,203,160,406,320,Gujarat,171,169
T00180,3/17/2023,CUST698,Male,59,Beauty,Makeup,2,326,223,652,446,Gujarat,183,181
T00181,8/7/2023,CUST267,Male,51,Beauty,Skincare,4,869,670,3476,2680,Karnataka,187,183
T00182,6/22/2023,CUST500,Male,43,Clothing,T-Shirts,1,582,445,582,445,Karnataka,113,112
T00183,5/10/2023,CUST921,Male,18,Electronics,Laptops,3,255,181,765,543,Uttar Pradesh,78,75
T00184,5/29/2023,CUST878,Male,57,Home & Kitchen,Cookware,3,583,420,1749,1260,Gujarat,88,85
T00185,8/20/2023,CUST326,Female,51,Sports,Outdoor,3,1028,697,3084,2091,Maharashtra,118,115
T00186,11/8/2023,CUST388,Female,53,Sports,Outdoor,3,450,336,1350,1008,Karnataka,130,127
T00187,12/31/2023,CUST581,Female,26,Electronics,Accessories,2,652,527,1304,1054,Gujarat,89,87
T00188,1/17/2023,CUST740,Female,42,Electronics,Mobiles,1,917,720,917,720,Maharashtra,88,87
T00189,10/18/2023,CUST230,Male,54,Beauty,Skincare,4,877,725,3508,2900,Gujarat,147,143
T00190,1/12/2023,CUST374,Female,54,Electronics,Accessories,4,1228,827,4912,3308,Delhi,66,62
T00191,11/26/2023,CUST668,Female,29,Beauty,Haircare,2,1351,962,2702,1924,Uttar Pradesh,198,196
T00192,3/22/2023,CUST826,Female,54,Electronics,Accessories,2,1005,674,2010,1348,Delhi,138,136
T00193,9/25/2023,CUST754,Male,43,Electronics,Laptops,1,1060,950,1060,950,Tamil Nadu,59,58
T00194,1/16/2023,CUST810,Male,34,Home & Kitchen,Decor,3,774,600,2322,1800,Uttar Pradesh,184,181
T00195,9/27/2023,CUST434,Female,24,Beauty,Haircare,1,313,,313,273,Karnataka,108,107
T00196,8/3/2023,CUST576,Female,35,Home & Kitchen,Furniture,3,1259,876,3777,2628,Maharashtra,195,192
T00197,4/13/2023,CUST372,Male,31,Home & Kitchen,Decor,3,567,428,1701,1284,Uttar Pradesh,94,91
T00198,4/8/2023,CUST230,,54,Clothing,Jeans,3,564,406,1692,1218,Gujarat,157,154
T00199,2/8/2023,CUST626,Male,21,Clothing,Jeans,1,970,695,970,695,Uttar Pradesh,65,64
T00200,4/18/2023,CUST993,Female,19,Home & Kitchen,Furniture,3,772,516,2316,1548,Gujarat,62,59
T00201,5/21/2023,CUST373,Female,49,Electronics,Mobiles,4,1228,819,4912,3276,Maharashtra,78,74
T00202,11/14/2023,CUST344,Female,33,Beauty,Haircare,4,434,345,1736,1380,Gujarat,152,148
T00203,12/6/2023,CUST488,Male,18,Sports,Sportswear,2,133,103,266,206,Tamil Nadu,169,167
T00204,6/7/2023,CUST423,Male,35,Home & Kitchen,Furniture,2,763,630,1526,1260,Maharashtra,122,120
T00205,11/1/2023,CUST988,Female,41,Home & Kitchen,Decor,4,439,296,1756,1184,Uttar Pradesh,110,106
T00206,7/17/2023,CUST906,Male,41,Sports,Fitness,3,1366,913,4098,2739,Delhi,101,98
T00207,9/17/2023,CUST670,Male,25,Clothing,Shirts,4,1018,854,4072,3416,Maharashtra,159,155
T00208,11/26/2023,CUST206,Male,51,Home & Kitchen,Decor,1,351,298,351,298,Delhi,52,51
T00209,9/19/2023,CUST616,Female,22,Clothing,Shirts,2,1413,972,2826,1944,Maharashtra,148,146
T00210,1/20/2023,CUST989,Male,59,Beauty,Haircare,3,1078,782,3234,2346,Delhi,52,49
T00211,6/9/2023,CUST838,Male,55,Electronics,Laptops,1,396,301,396,301,Uttar Pradesh,122,121
T00212,3/9/2023,CUST456,Female,51,Clothing,Shirts,3,1073,890,3219,2670,Uttar Pradesh,78,75
T00213,5/17/2023,CUST294,Female,42,Home & Kitchen,Decor,2,1247,876,2494,1752,Tamil Nadu,89,87
T00214,1/25/2023,CUST360,Male,28,Sports,Fitness,3,424,353,1272,1059,Maharashtra,87,84
T00215,11/24/2023,CUST350,Female,22,Clothing,Jeans,4,619,546,2476,2184,Maharashtra,109,105
T00216,6/25/2023,CUST895,Male,22,Home & Kitchen,Decor,1,1124,866,1124,866,Maharashtra,111,110
T00217,12/15/2023,CUST214,Female,20,Home & Kitchen,Decor,4,917,696,3668,2784,Uttar Pradesh,82,78
T00218,9/19/2023,CUST315,Female,36,Clothing,Jackets,4,998,693,3992,2772,Uttar Pradesh,108,104
T00219,10/31/2023,CUST780,Female,30,Clothing,Shirts,3,463,315,1389,945,Delhi,149,146
T00220,7/10/2023,CUST766,Female,55,Electronics,Accessories,4,353,243,1412,972,Uttar Pradesh,107,103
T00221,9/6/2023,CUST130,Male,40,Home & Kitchen,Cookware,2,267,216,534,432,Tamil Nadu,88,86
T00222,3/23/2023,CUST455,Male,19,Sports,Sportswear,2,940,781,1880,1562,Karnataka,62,60
T00223,2/15/2023,CUST766,Female,58,Electronics,Laptops,1,255,204,255,204,Maharashtra,137,136
T00224,12/31/2023,CUST774,Male,23,Clothing,Jackets,3,1033,785,3099,2355,Uttar Pradesh,112,109
T00225,3/1/2023,CUST434,Female,47,Beauty,Skincare,1,284,192,284,192,Karnataka,145,144
T00226,8/30/2023,CUST423,Female,44,Home & Kitchen,Decor,4,831,737,3324,2948,Karnataka,187,183
T00227,7/12/2023,CUST121,Male,43,Beauty,Skincare,4,205,141,820,564,Tamil Nadu,78,74
T00228,7/23/2023,CUST775,Male,52,Electronics,Accessories,4,868,782,3472,3128,Uttar Pradesh,188,184
T00229,2/2/2023,CUST745,Female,32,Sports,Sportswear,4,1090,793,4360,3172,Maharashtra,75,71
T00230,8/14/2023,CUST384,Male,21,Sports,Fitness,1,277,192,277,192,Tamil Nadu,64,63
T00231,10/12/2023,CUST256,,28,Home & Kitchen,Cookware,4,1206,856,4824,3424,Gujarat,133,129
T00232,1/22/2023,CUST558,Female,44,Sports,Sportswear,3,1109,956,3327,2868,Gujarat,141,138
T00233,1/21/2023,CUST402,Female,33,Sports,Fitness,1,849,675,849,675,Delhi,180,179
T00234,9/14/2023,CUST669,Male,55,Home & Kitchen,Furniture,3,910,771,2730,2313,Gujarat,74,71
T00235,10/7/2023,CUST623,Male,35,Beauty,Haircare,3,691,524,2073,1572,Gujarat,109,106
T00236,5/25/2023,CUST704,Male,25,Electronics,Laptops,3,667,508,2001,1524,Uttar Pradesh,180,177
T00237,12/15/2023,CUST792,Female,41,Sports,Fitness,4,1140,971,4560,3884,Karnataka,64,60
T00238,6/2/2023,CUST833,Female,31,Sports,Sportswear,3,292,213,876,639,Uttar Pradesh,58,55
T00239,6/15/2023,CUST930,Female,39,Home & Kitchen,Decor,2,526,393,1052,786,Delhi,121,119
T00240,3/5/2023,CUST816,Male,34,Beauty,Makeup,4,711,518,2844,2072,Gujarat,131,127
T00241,4/5/2023,CUST265,Male,49,Electronics,Mobiles,3,1048,725,3144,2175,,151,148
T00242,9/24/2023,CUST313,Female,41,Home & Kitchen,Decor,1,475,318,475,318,Delhi,129,128
T00243,11/6/2023,CUST185,Male,45,Sports,Fitness,4,580,411,2320,1644,Tamil Nadu,146,142
T00244,1/2/2023,CUST324,Male,50,Electronics,Laptops,1,463,416,463,416,Uttar Pradesh,165,164
T00245,6/3/2023,CUST202,Male,19,Electronics,Mobiles,2,840,611,1680,1222,Tamil Nadu,192,190
T00246,4/16/2023,CUST986,Male,57,Beauty,Skincare,3,309,212,927,636,Delhi,58,55
T00247,9/19/2023,CUST172,Male,56,Home & Kitchen,Decor,3,812,587,2436,1761,Delhi,57,54
T00248,11/24/2023,CUST789,Female,45,Clothing,Shirts,2,1083,805,2166,1610,Gujarat,176,174
T00249,1/7/2023,CUST558,Male,37,Beauty,Skincare,4,846,593,3384,2372,Uttar Pradesh,176,172
T00250,1/3/2023,CUST226,Female,58,Clothing,Shirts,4,859,758,3436,3032,Delhi,61,57
T00251,3/28/2023,CUST623,Female,30,Home & Kitchen,Decor,1,1051,885,1051,885,Uttar Pradesh,104,103
T00252,8/26/2023,CUST455,Male,25,Home & Kitchen,Decor,1,1105,811,1105,811,Uttar Pradesh,100,99
T00253,10/27/2023,CUST693,Male,23,Clothing,Jeans,2,848,688,1696,1376,Karnataka,105,103
T00254,12/27/2023,CUST158,Male,20,Beauty,Makeup,4,384,280,1536,1120,Karnataka,142,138
